,_District,Rural_/_Urban,Male_/_Female,In_school_with_pre-primary_as_percent_of_pre-primary_population,In_school_with_Primary_education_as_%_of_primary_school_age_population,In_school_with_Secondary_education_as_percent_of_secondary_school_age_population,In_school_with_Tertiary_education_as_%_of_population,University_students_as_%_of_population,Youth_Polytechnic_students_as_percent_of_population,%_of_people_with_over_3_years_Basic_Literacy,Students_in_Madrassa_school_as_percent_of_school_age_children,No_of_people_over_3_years_in_school_with_Pre-Primary_education,No_of_people_over_3_years_in_school_with_Primary_education,No_of_people_over_3_years_in_school_with_Secondary_education,No_of_people_over_3_years_in_school_with_Tertiary_education,No_of_people_over_3_years_in_University,Youth_Polytechnic,No_of_people_over_3_years_with_Basic_Literacy,No_of_people_over_3_years_in__Madrassa_school,Population,pre-primary_school_age_children,Primary_school_age_children,Secondary_School_age_children,School_age_children,Tertiary_age_population,County,Province,Census_Table,MTEF_Sector,MTP_Sector,Longtitude,Latitude,Geolocation,OBJECTID
11,KIRINYAGA,Rural,Female,78.38%,121.65%,71.05%,4.87%,1.94%,0.37%,0.14%,0%,8363,48495,10861,936,373,71,99,2,69200,10670,39865,15287,65822,19207,Kirinyaga,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.32018369,-0.519266797,"(-0.519266797, 37.32018369)",10
12,MURANGA NORTH,Rural,Male,72.27%,124.37%,75.15%,6.18%,2.87%,1.98%,0.15%,0%,5734,39444,10883,841,391,269,87,1,57650,7934,31714,14481,54129,13607,Murang'a,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.98118146,-0.675384535,"(-0.675384535, 36.98118146)",11
13,MURANGA NORTH,Rural,Female,71.31%,121.69%,78.56%,7.64%,1.73%,1.13%,0.2%,0%,5438,37598,10569,957,217,141,111,1,55032,7626,30896,13454,51976,12518,Murang'a,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.98118146,-0.675384535,"(-0.675384535, 36.98118146)",12
14,MURANGA SOUTH,Rural,Male,65.88%,127.06%,69.01%,4.13%,2.17%,1.17%,0.08%,0.01%,5709,43038,10161,597,313,169,50,7,60044,8666,33872,14725,57263,14438,Murang'a,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.05522802,-0.845673319,"(-0.845673319, 37.05522802)",13
15,MURANGA SOUTH,Rural,Female,63.47%,124.26%,66.91%,4.62%,1.22%,0.75%,0.15%,0.01%,5452,40805,9144,608,161,99,85,5,56359,8590,32838,13666,55094,13150,Murang'a,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.05522802,-0.845673319,"(-0.845673319, 37.05522802)",14
16,KIAMBU EAST(KIAMBAA),Rural,Male,102.09%,112.9%,75.35%,7.86%,6.12%,0.75%,0.1%,0.01%,1220,4497,1235,167,130,16,7,1,7273,1195,3983,1639,6817,2125,Kiambu,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.80546766,-1.158558742,"(-1.158558742, 36.80546766)",15
17,KIAMBU EAST(KIAMBAA),Rural,Female,103.27%,110.87%,71.68%,9.51%,5.06%,1.01%,0.22%,0.04%,1136,4538,1225,207,110,22,16,3,7257,1100,4093,1709,6902,2176,Kiambu,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.80546766,-1.158558742,"(-1.158558742, 36.80546766)",16
18,KIKUYU,Rural,Male,123.53%,112.9%,110.34%,13.04%,30.43%,0%,0%,0%,21,70,32,6,14,0,0,0,143,17,62,29,108,46,Kiambu,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.63360077,-1.236882983,"(-1.236882983, 36.63360077)",17
19,KIKUYU,Rural,Female,108.7%,118.84%,82.93%,13.04%,43.48%,0%,0%,0%,25,82,34,6,20,0,0,0,167,23,69,41,133,46,Kiambu,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.63360077,-1.236882983,"(-1.236882983, 36.63360077)",18
20,KIAMBU WEST,Rural,Male,125.22%,112.23%,71.86%,7.65%,5.51%,1.5%,0.08%,0%,1673,5688,1583,179,129,35,7,0,9294,1336,5068,2203,8607,2341,Kiambu,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.62625892,-1.139177531,"(-1.139177531, 36.62625892)",19
21,KIAMBU WEST,Rural,Female,120.94%,110.21%,79.92%,10.29%,4.25%,0.89%,0.12%,0%,1640,5504,1640,242,100,21,11,0,9158,1356,4994,2052,8402,2351,Kiambu,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.62625892,-1.139177531,"(-1.139177531, 36.62625892)",20
22,LARI,Rural,Male,96.67%,116.74%,73.86%,7.11%,3.52%,0.86%,0.08%,0%,3396,15428,4229,404,200,49,20,0,23726,3513,13216,5726,22455,5685,Kiambu,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.67684469,-0.92811243,"(-0.92811243, 36.67684469)",21
23,LARI,Rural,Female,96.02%,113.96%,77.72%,10.04%,2.81%,0.44%,0.12%,0%,3329,14793,4344,553,155,24,29,0,23227,3467,12981,5589,22037,5508,Kiambu,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.67684469,-0.92811243,"(-0.92811243, 36.67684469)",22
24,GITHUNGURI,Rural,Male,114.22%,115.2%,77.33%,5.82%,3.86%,0.92%,0.03%,0%,3711,14433,4220,353,234,56,8,1,23016,3249,12529,5457,21235,6068,Kiambu,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.79433274,-1.066938632,"(-1.066938632, 36.79433274)",23
25,GITHUNGURI,Rural,Female,111.93%,110.16%,85.62%,8.62%,3.62%,0.55%,0.08%,0%,3547,13721,4202,453,190,29,18,1,22161,3169,12456,4908,20533,5253,Kiambu,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.79433274,-1.066938632,"(-1.066938632, 36.79433274)",24
26,THIKA EAST,Rural,Male,87.52%,120.5%,57.99%,9.52%,2.53%,0.89%,0.08%,0.04%,2019,9740,1923,309,82,29,11,5,14118,2307,8083,3316,13706,3247,Kiambu,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.23100647,-1.029757173,"(-1.029757173, 37.23100647)",25
27,THIKA EAST,Rural,Female,86.36%,118.57%,54.9%,9.78%,1.33%,0.71%,0.08%,0.02%,1906,9279,1747,301,41,22,11,3,13310,2207,7826,3182,13215,3077,Kiambu,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.23100647,-1.029757173,"(-1.029757173, 37.23100647)",26
28,THIKA WEST,Rural,Male,109.9%,114.41%,62.3%,5.55%,4.05%,0.62%,0.05%,0%,766,2676,542,63,46,7,2,0,4102,697,2339,870,3906,1135,Kiambu,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.04502993,-1.099288796,"(-1.099288796, 37.04502993)",27
29,THIKA WEST,Rural,Female,109.29%,111.08%,73.23%,5.67%,2.4%,0.52%,0.25%,0%,753,2687,777,66,28,6,11,0,4328,689,2419,1061,4169,1165,Kiambu,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.04502993,-1.099288796,"(-1.099288796, 37.04502993)",28
30,RUIRU,Rural,Male,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kiambu,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.99460397,-1.167110142,"(-1.167110142, 36.99460397)",29
31,RUIRU,Rural,Female,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kiambu,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.99460397,-1.167110142,"(-1.167110142, 36.99460397)",30
32,GATANGA,Rural,Male,73.29%,123.1%,75.86%,5.65%,2.65%,1.05%,0.05%,0%,2231,13897,3811,292,137,54,10,0,20432,3044,11289,5024,19357,5165,Murang'a,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.88791928,-0.876497537,"(-0.876497537, 36.88791928)",31
33,GATANGA,Rural,Female,71.94%,119.03%,80.85%,6.25%,2.19%,0.56%,0.11%,0.01%,2054,13009,3693,299,105,27,22,2,19211,2855,10929,4568,18352,4785,Murang'a,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.88791928,-0.876497537,"(-0.876497537, 36.88791928)",32
34,GATUNDU,Rural,Male,81.03%,118.86%,80.4%,5.1%,2.55%,1.52%,0.11%,0.01%,4514,26421,7534,468,234,139,44,2,39356,5571,22228,9371,37170,9171,Kiambu,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.85558237,-0.959326055,"(-0.959326055, 36.85558237)",33
35,GATUNDU,Rural,Female,78.61%,116.79%,79.91%,6.04%,2.03%,0.76%,0.18%,0%,4281,25455,6844,515,173,65,66,1,37400,5446,21796,8565,35807,8523,Kiambu,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.85558237,-0.959326055,"(-0.959326055, 36.85558237)",34
36,NYANDARUA NORTH,Urban,Male,115.9%,116.33%,72.66%,5.48%,3.1%,0.65%,0.06%,0.01%,3294,11946,3022,237,134,28,12,2,18675,2842,10269,4159,17270,4328,Nyandarua,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.42343108,-0.144560572,"(-0.144560572, 36.42343108)",35
37,NYANDARUA NORTH,Urban,Female,113.83%,114.72%,72.18%,6.82%,2.56%,0.42%,0.09%,0%,3053,11346,2869,293,110,18,16,0,17705,2682,9890,3975,16547,4294,Nyandarua,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.42343108,-0.144560572,"(-0.144560572, 36.42343108)",36
38,NYANDARUA SOUTH,Urban,Male,95.84%,118.43%,57.45%,5.69%,4.58%,1.11%,0%,0%,507,2037,374,41,33,8,0,0,3000,529,1720,651,2900,721,Nyandarua,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.55651343,-0.533045224,"(-0.533045224, 36.55651343)",37
39,NYANDARUA SOUTH,Urban,Female,99.6%,113.61%,66.62%,6.59%,1.18%,0.59%,0.07%,0%,496,2029,461,67,12,6,2,0,3073,498,1786,692,2976,1016,Nyandarua,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.55651343,-0.533045224,"(-0.533045224, 36.55651343)",38
40,NYERI NORTH,Urban,Male,122.88%,115.51%,71.28%,10.72%,9.58%,1.14%,0.1%,0.02%,1160,3850,871,169,151,18,6,1,6226,944,3333,1222,5499,1577,Nyeri,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.9811441,-0.266587082,"(-0.266587082, 36.9811441)",39
41,NYERI NORTH,Urban,Female,115.8%,113.86%,76.59%,12.8%,7.08%,0.5%,0.27%,0%,1070,4083,1037,280,155,11,18,0,6654,924,3586,1354,5864,2188,Nyeri,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.9811441,-0.266587082,"(-0.266587082, 36.9811441)",40
42,NYERI SOUTH,Urban,Male,120.3%,117.82%,111.17%,16.09%,19.09%,1.28%,0.09%,0.07%,3384,11909,5233,1046,1241,83,21,12,22929,2813,10108,4707,17628,6502,Nyeri,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.89927916,-0.500808092,"(-0.500808092, 36.89927916)",41
43,NYERI SOUTH,Urban,Female,123.04%,113.52%,92.15%,20.73%,8.76%,1.01%,0.24%,0.02%,3263,11855,4317,1441,609,70,51,3,21609,2652,10443,4685,17780,6952,Nyeri,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.89927916,-0.500808092,"(-0.500808092, 36.89927916)",42
44,KIRINYAGA,Urban,Male,101.8%,118.96%,75.16%,12.94%,7.7%,0.61%,0.06%,0.2%,1922,8296,2064,449,267,21,8,23,13050,1888,6974,2746,11608,3469,Kirinyaga,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.32018369,-0.519266797,"(-0.519266797, 37.32018369)",43
45,KIRINYAGA,Urban,Female,96.15%,118.4%,80.61%,12.34%,4.85%,0.42%,0.07%,0.01%,1825,8493,2369,552,217,19,10,1,13486,1898,7173,2939,12010,4474,Kirinyaga,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.32018369,-0.519266797,"(-0.519266797, 37.32018369)",44
46,MURANGA NORTH,Urban,Male,89.82%,115.6%,84.38%,16.62%,9.96%,1.08%,0.1%,0%,600,2898,913,247,148,16,5,0,4827,668,2507,1082,4257,1486,Murang'a,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.98118146,-0.675384535,"(-0.675384535, 36.98118146)",45
47,EAST POKOT,Urban,Female,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Baringo,RIFT VALLEY,"Table 3a: Rural  Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.01860317,1.049001072,"(1.049001072, 36.01860317)",46
48,MURANGA NORTH,Urban,Female,88.79%,110.52%,86.21%,27.56%,6.27%,0.9%,0.18%,0%,610,2742,944,554,126,18,9,0,5003,687,2481,1095,4263,2010,Murang'a,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.98118146,-0.675384535,"(-0.675384535, 36.98118146)",47
49,MURANGA SOUTH,Urban,Male,73.24%,125.45%,69.12%,6.11%,3.76%,1.57%,0.25%,0%,2220,14570,3375,312,192,80,52,0,20801,3031,11614,4883,19528,5110,Murang'a,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.05522802,-0.845673319,"(-0.845673319, 37.05522802)",48
50,MURANGA SOUTH,Urban,Female,75.09%,122.44%,64.04%,7.9%,2.86%,1.11%,0.22%,0%,2191,14139,3076,390,141,55,45,0,20037,2918,11548,4803,19269,4936,Murang'a,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.05522802,-0.845673319,"(-0.845673319, 37.05522802)",49
51,KIAMBU EAST(KIAMBAA),Urban,Male,112.12%,112.76%,84.46%,15.03%,11.92%,0.97%,0.09%,0.01%,5512,17943,5522,1449,1149,94,29,3,31701,4916,15913,6538,27367,9643,Kiambu,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.80546766,-1.158558742,"(-1.158558742, 36.80546766)",50
52,KIAMBU EAST(KIAMBAA),Urban,Female,109.86%,110.57%,81.25%,15.28%,7.9%,0.71%,0.17%,0%,5239,18106,6026,1877,971,87,55,0,32361,4769,16375,7417,28561,12285,Kiambu,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.80546766,-1.158558742,"(-1.158558742, 36.80546766)",51
53,KIKUYU,Urban,Male,124.65%,111.87%,84.89%,15.99%,16.15%,1.2%,0.06%,0.01%,7939,23852,7750,1937,1957,145,27,3,43610,6369,21322,9129,36820,12114,Kiambu,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.63360077,-1.236882983,"(-1.236882983, 36.63360077)",52
54,KIKUYU,Urban,Female,122.33%,109.49%,82.36%,17.01%,10.79%,0.63%,0.16%,0.1%,7559,23974,7975,2585,1640,96,69,37,43935,6179,21897,9683,37759,15194,Kiambu,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.63360077,-1.236882983,"(-1.236882983, 36.63360077)",53
55,KIAMBU WEST,Urban,Male,143.68%,109.04%,76.53%,11.22%,8.25%,1.04%,0.1%,0.01%,3036,8153,2214,408,300,38,14,1,14164,2113,7477,2893,12483,3637,Kiambu,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.62625892,-1.139177531,"(-1.139177531, 36.62625892)",54
56,KIAMBU WEST,Urban,Female,135.41%,109.6%,79.43%,11.4%,6.13%,0.73%,0.15%,0%,2849,8196,2429,487,262,31,21,0,14275,2104,7478,3058,12640,4273,Kiambu,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.62625892,-1.139177531,"(-1.139177531, 36.62625892)",55
57,LARI,Urban,Male,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kiambu,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.67684469,-0.92811243,"(-0.92811243, 36.67684469)",56
58,LARI,Urban,Female,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kiambu,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.67684469,-0.92811243,"(-0.92811243, 36.67684469)",57
59,GITHUNGURI,Urban,Male,136.08%,108.81%,78.29%,12.49%,7.29%,0.44%,0.1%,0%,645,1679,505,113,66,4,3,0,3015,474,1543,645,2662,905,Kiambu,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.79433274,-1.066938632,"(-1.066938632, 36.79433274)",58
60,GITHUNGURI,Urban,Female,138.59%,105.79%,75.47%,14.87%,5.21%,0.09%,0.32%,0%,650,1736,520,157,55,1,10,0,3129,469,1641,689,2799,1056,Kiambu,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.79433274,-1.066938632,"(-1.066938632, 36.79433274)",59
61,THIKA EAST,Urban,Male,123.17%,123.32%,82.54%,7.69%,6.15%,1.54%,0%,0%,101,349,104,15,12,3,0,0,584,82,283,126,491,195,Kiambu,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.23100647,-1.029757173,"(-1.029757173, 37.23100647)",60
62,THIKA EAST,Urban,Female,115.38%,111.19%,79.83%,6.22%,3.11%,0.52%,0.19%,0%,90,328,95,12,6,1,1,0,533,78,295,119,492,193,Kiambu,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.23100647,-1.029757173,"(-1.029757173, 37.23100647)",61
63,THIKA WEST,Urban,Male,115.8%,111.1%,87.2%,23.29%,17.42%,0.93%,0.16%,0.04%,5320,15994,4857,2339,1749,93,50,10,30412,4594,14396,5570,24560,10041,Kiambu,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.04502993,-1.099288796,"(-1.099288796, 37.04502993)",62
64,THIKA WEST,Urban,Female,116.19%,108.82%,77.95%,24.56%,10.24%,0.63%,0.16%,0.07%,4980,16091,5111,3321,1385,85,50,18,31041,4286,14787,6557,25630,13524,Kiambu,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,37.04502993,-1.099288796,"(-1.099288796, 37.04502993)",63
65,RUIRU,Urban,Male,128.14%,109.84%,92.43%,30.37%,25.23%,0.96%,0.13%,0.05%,7555,20732,6444,3557,2955,112,55,17,41427,5896,18875,6972,31743,11712,Kiambu,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.99460397,-1.167110142,"(-1.167110142, 36.99460397)",64
66,RUIRU,Urban,Female,127.17%,108.81%,82.69%,17.39%,15.65%,0.57%,0.18%,0.03%,7240,20721,6786,2861,2574,94,73,9,40358,5693,19043,8207,32943,16449,Kiambu,CENTRAL,"Table 3b: Urban Population, 3 years and above Attending School by Sex, Age and Highest Level of Education Reached up to District Level",Human resources development,Education and Training,36.99460397,-1.167110142,"(-1.167110142, 36.99460397)",65
